layer,split,c_value,l1_ratio,threshold,auroc,average_precision,balanced_accuracy,precision,recall,specificity,step_f1,brier_score,log_loss,expected_calibration_error,error_accuracy,correct_accuracy,process_f1,first_error_exact,error_detection_rate,error_miss_rate,correct_false_alarm_rate,early_detection_rate,on_time_detection_rate,late_detection_rate,mean_signed_localization_error,mean_absolute_localization_error,error_within_0_accuracy,error_within_1_accuracy,error_within_2_accuracy
6,test_error_traces,0.01,,0.4699999999999999,0.856676621967488,0.9107737975674619,0.7822626808034379,0.8677932405566601,0.8005502063273727,0.7639751552795031,0.8328165990937276,0.15371744021350117,0.4706890170656195,0.10098836407530407,0.3287037037037037,,0.0,0.3287037037037037,0.9398148148148148,0.06018518518518518,,0.28703703703703703,0.3287037037037037,0.32407407407407407,-0.034482758620689655,1.4039408866995073,0.3287037037037037,0.6087962962962963,0.7615740740740741
7,validation,0.01,,0.5549999999999999,0.8264150202639424,0.7863732642937051,0.7443843728401827,0.7297687861271677,0.6902050113895216,0.7985637342908438,0.7094357293373917,0.1704215683249473,0.5117762547351059,0.04135054131119294,0.28603603603603606,0.40772532188841204,0.33620821780384835,0.32791728212703103,0.8963963963963963,0.1036036036036036,0.592274678111588,0.18468468468468469,0.28603603603603606,0.42567567567567566,0.5201005025125628,1.4597989949748744,0.28603603603603606,0.5743243243243243,0.740990990990991
7,test,0.01,,0.5549999999999999,0.8359654871765689,0.7985621437089533,0.7542103505766635,0.7268089053803339,0.7184777624942686,0.7899429386590585,0.7226193221120589,0.16640276469169638,0.5019422786002319,0.043782338910006775,0.24074074074074073,0.45147679324894513,0.3140309289987583,0.3153961136023916,0.8842592592592593,0.11574074074074074,0.5485232067510548,0.2569444444444444,0.24074074074074073,0.38657407407407407,0.3219895287958115,1.568062827225131,0.24074074074074073,0.5231481481481481,0.6967592592592593
7,test_error_traces,0.01,,0.5549999999999999,0.8540964618608643,0.9113875614800359,0.7682894579995745,0.8843115124153499,0.7184777624942686,0.8181011535048802,0.7928155831014418,0.15767178066312387,0.4795511337115446,0.10731140469235859,0.24074074074074073,,0.0,0.24074074074074073,0.8842592592592593,0.11574074074074074,,0.2569444444444444,0.24074074074074073,0.38657407407407407,0.3219895287958115,1.568062827225131,0.24074074074074073,0.5231481481481481,0.6967592592592593
8,validation,0.01,,0.5449999999999999,0.8269939433100364,0.7865656205117249,0.7445618612564053,0.7221180880974696,0.7020501138952164,0.7870736086175942,0.711942711942712,0.17048875519439574,0.5130883520953579,0.0374076811119015,0.30180180180180183,0.4206008583690987,0.35143308266652395,0.34268833087149186,0.9009009009009009,0.0990990990990991,0.5793991416309013,0.22522522522522523,0.30180180180180183,0.3738738738738739,0.3925,1.4575,0.30180180180180183,0.581081081081081,0.7319819819819819
8,test,0.01,,0.5449999999999999,0.8258116557142119,0.788976764828282,0.7364805534243672,0.6942477876106194,0.71939477303989,0.7535663338088445,0.7065976131501913,0.17315529350893483,0.5169909840508548,0.04959266312728392,0.23842592592592593,0.4177215189873418,0.30357701067297815,0.30194319880418535,0.8935185185185185,0.10648148148148148,0.5822784810126582,0.2569444444444444,0.23842592592592593,0.39814814814814814,0.22279792746113988,1.5699481865284974,0.23842592592592593,0.5578703703703703,0.7222222222222222
8,test_error_traces,0.01,,0.5449999999999999,0.8496896037285796,0.9078173323779448,0.7549946358544615,0.8692520775623269,0.71939477303989,0.7905944986690329,0.7872553938785751,0.1609396107378724,0.48678327181590586,0.10935963855219558,0.23842592592592593,,0.0,0.23842592592592593,0.8935185185185185,0.10648148148148148,,0.2569444444444444,0.23842592592592593,0.39814814814814814,0.22279792746113988,1.5699481865284974,0.23842592592592593,0.5578703703703703,0.7222222222222222
9,validation,0.01,,0.5449999999999999,0.820344589261542,0.7806207682214545,0.7390310931895978,0.7126969416126042,0.7006833712984055,0.77737881508079,0.7066390994716288,0.1741575880186013,0.5208783075804762,0.042815569873599926,0.29504504504504503,0.3905579399141631,0.3361484343056946,0.32791728212703103,0.9121621621621622,0.08783783783783784,0.6094420600858369,0.22972972972972974,0.29504504504504503,0.38738738738738737,0.37530864197530867,1.5061728395061729,0.29504504504504503,0.5833333333333334,0.7387387387387387
9,test,0.01,,0.5449999999999999,0.8306763247106871,0.7949942532860983,0.7435877121895034,0.7058823529411765,0.7207702888583218,0.7664051355206848,0.7132486388384757,0.17027605582359298,0.5097544369000515,0.048386275389517897,0.24305555555555555,0.4219409282700422,0.3084379819343468,0.3064275037369208,0.9027777777777778,0.09722222222222222,0.5780590717299579,0.22916666666666666,0.24305555555555555,0.4305555555555556,0.37435897435897436,1.5538461538461539,0.24305555555555555,0.5694444444444444,0.7337962962962963
9,test_error_traces,0.01,,0.5449999999999999,0.8542681470650577,0.9107908278103369,0.7681047540121245,0.8831460674157303,0.7207702888583218,0.8154392191659272,0.7937389548093916,0.15780311093387872,0.4801469636717034,0.10780227999438265,0.24305555555555555,,0.0,0.24305555555555555,0.9027777777777778,0.09722222222222222,,0.22916666666666666,0.24305555555555555,0.4305555555555556,0.37435897435897436,1.5538461538461539,0.24305555555555555,0.5694444444444444,0.7337962962962963
