sample,first_error_exact,correct_rejection,process_f1,complete_trace_accuracy,error_detection_rate,mean_signed_localization_error,mean_absolute_localization_error,error_within_1_accuracy,error_within_2_accuracy
1995,0.16435185185185186,0.6118143459915611,0.25910126215913526,0.32286995515695066,0.8865740740740741,-1.6475195822454307,2.1279373368146213,0.42824074074074076,0.6087962962962963
1996,0.17824074074074073,0.6118143459915611,0.27605731310808634,0.33183856502242154,0.8865740740740741,-1.4386422976501305,2.0182767624020888,0.44212962962962965,0.6365740740740741
1997,0.1712962962962963,0.6118143459915611,0.26765446880690463,0.3273542600896861,0.8865740740740741,-1.5195822454308094,2.0574412532637076,0.41898148148148145,0.625
1998,0.17824074074074073,0.6118143459915611,0.27605731310808634,0.33183856502242154,0.8865740740740741,-1.4804177545691906,1.9921671018276763,0.44907407407407407,0.6273148148148148
1999,0.18981481481481483,0.6118143459915611,0.2897385286448815,0.3393124065769806,0.8865740740740741,-1.4621409921671018,2.093994778067885,0.42824074074074076,0.6180555555555556
2000,0.16666666666666666,0.6118143459915611,0.26196928635953026,0.3243647234678625,0.8865740740740741,-1.3759791122715406,2.0861618798955615,0.4444444444444444,0.6180555555555556
2001,0.1597222222222222,0.6118143459915611,0.25331358474801563,0.31988041853512705,0.8865740740740741,-1.5639686684073106,2.133159268929504,0.4375,0.5995370370370371
2002,0.16435185185185186,0.6118143459915611,0.25910126215913526,0.32286995515695066,0.8865740740740741,-1.5926892950391645,2.161879895561358,0.41898148148148145,0.6064814814814815
2003,0.17592592592592593,0.6118143459915611,0.27327282646431583,0.3303437967115097,0.8865740740740741,-1.4778067885117494,2.031331592689295,0.44675925925925924,0.6226851851851852
2004,0.16898148148148148,0.6118143459915611,0.264820304974919,0.32585949177877427,0.8865740740740741,-1.5456919060052219,2.093994778067885,0.4236111111111111,0.625
2005,0.1597222222222222,0.6118143459915611,0.25331358474801563,0.31988041853512705,0.8865740740740741,-1.4490861618798956,2.0809399477806787,0.4398148148148148,0.6041666666666666
2006,0.1712962962962963,0.6118143459915611,0.26765446880690463,0.3273542600896861,0.8865740740740741,-1.433420365535248,2.0809399477806787,0.4444444444444444,0.6226851851851852
2007,0.16898148148148148,0.6118143459915611,0.264820304974919,0.32585949177877427,0.8865740740740741,-1.3524804177545693,2.1253263707571803,0.4236111111111111,0.6087962962962963
2008,0.1597222222222222,0.6118143459915611,0.25331358474801563,0.31988041853512705,0.8865740740740741,-1.5221932114882506,2.023498694516971,0.46296296296296297,0.6365740740740741
2009,0.16666666666666666,0.6118143459915611,0.26196928635953026,0.3243647234678625,0.8865740740740741,-1.433420365535248,2.143603133159269,0.42592592592592593,0.5972222222222222
2010,0.1712962962962963,0.6118143459915611,0.26765446880690463,0.3273542600896861,0.8865740740740741,-1.4569190600522193,2.0469973890339426,0.43287037037037035,0.6296296296296297
2011,0.1550925925925926,0.6118143459915611,0.24745602975076095,0.31689088191330345,0.8865740740740741,-1.558746736292428,2.0966057441253265,0.4351851851851852,0.6342592592592593
2012,0.13657407407407407,0.6118143459915611,0.22330109758166605,0.30493273542600896,0.8865740740740741,-1.4255874673629243,2.1201044386422976,0.4166666666666667,0.625
2013,0.1712962962962963,0.6118143459915611,0.26765446880690463,0.3273542600896861,0.8865740740740741,-1.4699738903394255,2.044386422976501,0.43287037037037035,0.6342592592592593
2014,0.16203703703703703,0.6118143459915611,0.2562160797677647,0.3213751868460389,0.8865740740740741,-1.5274151436031331,2.044386422976501,0.44907407407407407,0.6273148148148148
2015,0.18055555555555555,0.6118143459915611,0.27882553065601656,0.3333333333333333,0.8865740740740741,-1.4725848563968669,2.0261096605744124,0.44675925925925924,0.6273148148148148
2016,0.16435185185185186,0.6118143459915611,0.25910126215913526,0.32286995515695066,0.8865740740740741,-1.4360313315926894,2.135770234986945,0.42592592592592593,0.5949074074074074
2017,0.15046296296296297,0.6118143459915611,0.2415273239797553,0.31390134529147984,0.8865740740740741,-1.3864229765013054,2.101827676240209,0.44675925925925924,0.6203703703703703
2018,0.1712962962962963,0.6118143459915611,0.26765446880690463,0.3273542600896861,0.8865740740740741,-1.4960835509138382,2.0704960835509136,0.46064814814814814,0.6134259259259259
2019,0.1736111111111111,0.6118143459915611,0.2704719268793136,0.32884902840059793,0.8865740740740741,-1.3733681462140992,1.989556135770235,0.4444444444444444,0.6458333333333334
2020,0.1527777777777778,0.6118143459915611,0.24450065149076416,0.3153961136023916,0.8865740740740741,-1.485639686684073,2.2010443864229763,0.41898148148148145,0.5949074074074074
2021,0.17592592592592593,0.6118143459915611,0.27327282646431583,0.3303437967115097,0.8865740740740741,-1.475195822454308,1.9869451697127938,0.46296296296296297,0.6365740740740741
2022,0.1388888888888889,0.6118143459915611,0.22638563622170177,0.3064275037369208,0.8865740740740741,-1.5796344647519582,2.2114882506527413,0.39814814814814814,0.5995370370370371
2023,0.16898148148148148,0.6118143459915611,0.264820304974919,0.32585949177877427,0.8865740740740741,-1.4882506527415145,2.052219321148825,0.44907407407407407,0.6342592592592593
2024,0.14583333333333334,0.6118143459915611,0.2355261631279731,0.3109118086696562,0.8865740740740741,-1.5091383812010444,2.10443864229765,0.4236111111111111,0.6296296296296297
2025,0.1597222222222222,0.6118143459915611,0.25331358474801563,0.31988041853512705,0.8865740740740741,-1.524804177545692,2.073107049608355,0.4444444444444444,0.6435185185185185
2026,0.16203703703703703,0.6118143459915611,0.2562160797677647,0.3213751868460389,0.8865740740740741,-1.5274151436031331,2.1592689295039165,0.4236111111111111,0.6180555555555556
2027,0.1574074074074074,0.6118143459915611,0.2503936208034943,0.3183856502242152,0.8865740740740741,-1.4804177545691906,2.028720626631854,0.44212962962962965,0.6527777777777778
2028,0.1527777777777778,0.6118143459915611,0.24450065149076416,0.3153961136023916,0.8865740740740741,-1.4986945169712793,2.1148825065274153,0.44212962962962965,0.6064814814814815
2029,0.18287037037037038,0.6118143459915611,0.28157762127748487,0.33482810164424515,0.8865740740740741,-1.5404699738903394,2.0261096605744124,0.46296296296296297,0.6319444444444444
2030,0.19212962962962962,0.6118143459915611,0.2924275005770796,0.34080717488789236,0.8865740740740741,-1.3838120104438643,2.0992167101827675,0.4398148148148148,0.6041666666666666
2031,0.1736111111111111,0.6118143459915611,0.2704719268793136,0.32884902840059793,0.8865740740740741,-1.5326370757180157,2.0548302872062663,0.4513888888888889,0.6157407407407407
2032,0.1574074074074074,0.6118143459915611,0.2503936208034943,0.3183856502242152,0.8865740740740741,-1.4099216710182767,2.0156657963446474,0.44212962962962965,0.6481481481481481
2033,0.15046296296296297,0.6118143459915611,0.2415273239797553,0.31390134529147984,0.8865740740740741,-1.3237597911227155,2.0182767624020888,0.41435185185185186,0.6481481481481481
2034,0.1597222222222222,0.6118143459915611,0.25331358474801563,0.31988041853512705,0.8865740740740741,-1.433420365535248,2.133159268929504,0.4351851851851852,0.6203703703703703
2035,0.1574074074074074,0.6118143459915611,0.2503936208034943,0.3183856502242152,0.8865740740740741,-1.4177545691906006,2.033942558746736,0.44675925925925924,0.6296296296296297
2036,0.14583333333333334,0.6118143459915611,0.2355261631279731,0.3109118086696562,0.8865740740740741,-1.5013054830287207,2.185378590078329,0.42824074074074076,0.5925925925925926
2037,0.20601851851851852,0.6118143459915611,0.3082416729365961,0.34977578475336324,0.8865740740740741,-1.5117493472584855,2.060052219321149,0.45601851851851855,0.6134259259259259
2038,0.1574074074074074,0.6118143459915611,0.2503936208034943,0.3183856502242152,0.8865740740740741,-1.6370757180156659,2.1488250652741514,0.41203703703703703,0.6319444444444444
2039,0.18055555555555555,0.6118143459915611,0.27882553065601656,0.3333333333333333,0.8865740740740741,-1.4569190600522193,2.08355091383812,0.4166666666666667,0.6203703703703703
2040,0.1736111111111111,0.6118143459915611,0.2704719268793136,0.32884902840059793,0.8865740740740741,-1.514360313315927,2.156657963446475,0.4074074074074074,0.6041666666666666
2041,0.16666666666666666,0.6118143459915611,0.26196928635953026,0.3243647234678625,0.8865740740740741,-1.4647519582245432,2.112271540469974,0.4212962962962963,0.5972222222222222
2042,0.17592592592592593,0.6118143459915611,0.27327282646431583,0.3303437967115097,0.8865740740740741,-1.4934725848563968,2.135770234986945,0.4513888888888889,0.6018518518518519
2043,0.1736111111111111,0.6118143459915611,0.2704719268793136,0.32884902840059793,0.8865740740740741,-1.422976501305483,2.0861618798955615,0.42824074074074076,0.6226851851851852
2044,0.1574074074074074,0.6118143459915611,0.2503936208034943,0.3183856502242152,0.8865740740740741,-1.4177545691906006,2.044386422976501,0.42592592592592593,0.6319444444444444
2045,0.16203703703703703,0.6118143459915611,0.2562160797677647,0.3213751868460389,0.8865740740740741,-1.4778067885117494,2.06266318537859,0.4166666666666667,0.6087962962962963
2046,0.2013888888888889,0.6118143459915611,0.30303030303030304,0.34678624813153963,0.8865740740740741,-1.3994778067885119,1.9791122715404699,0.45601851851851855,0.6458333333333334
2047,0.16898148148148148,0.6118143459915611,0.264820304974919,0.32585949177877427,0.8865740740740741,-1.3942558746736293,2.0469973890339426,0.4351851851851852,0.6226851851851852
2048,0.1597222222222222,0.6118143459915611,0.25331358474801563,0.31988041853512705,0.8865740740740741,-1.3838120104438643,2.0992167101827675,0.4398148148148148,0.6087962962962963
2049,0.16435185185185186,0.6118143459915611,0.25910126215913526,0.32286995515695066,0.8865740740740741,-1.5796344647519582,2.174934725848564,0.41435185185185186,0.6064814814814815
2050,0.16435185185185186,0.6118143459915611,0.25910126215913526,0.32286995515695066,0.8865740740740741,-1.577023498694517,2.08355091383812,0.42824074074074076,0.6180555555555556
2051,0.1712962962962963,0.6118143459915611,0.26765446880690463,0.3273542600896861,0.8865740740740741,-1.443864229765013,1.9765013054830287,0.4583333333333333,0.6504629629629629
2052,0.1550925925925926,0.6118143459915611,0.24745602975076095,0.31689088191330345,0.8865740740740741,-1.4986945169712793,2.08355091383812,0.42592592592592593,0.6319444444444444
2053,0.1388888888888889,0.6118143459915611,0.22638563622170177,0.3064275037369208,0.8865740740740741,-1.3759791122715406,2.0913838120104438,0.42592592592592593,0.6180555555555556
2054,0.18055555555555555,0.6118143459915611,0.27882553065601656,0.3333333333333333,0.8865740740740741,-1.4464751958224542,2.0417754569190603,0.45601851851851855,0.6180555555555556
2055,0.19444444444444445,0.6118143459915611,0.2951010321267626,0.3423019431988042,0.8865740740740741,-1.4621409921671018,1.9634464751958225,0.4861111111111111,0.6365740740740741
2056,0.17824074074074073,0.6118143459915611,0.27605731310808634,0.33183856502242154,0.8865740740740741,-1.441253263707572,1.9530026109660574,0.4722222222222222,0.6435185185185185
2057,0.1736111111111111,0.6118143459915611,0.2704719268793136,0.32884902840059793,0.8865740740740741,-1.483028720626632,2.093994778067885,0.43287037037037035,0.5856481481481481
2058,0.16666666666666666,0.6118143459915611,0.26196928635953026,0.3243647234678625,0.8865740740740741,-1.4595300261096606,2.0704960835509136,0.4375,0.6134259259259259
2059,0.13425925925925927,0.6118143459915611,0.2201974183750949,0.3034379671150972,0.8865740740740741,-1.4621409921671018,2.177545691906005,0.4166666666666667,0.6018518518518519
2060,0.1574074074074074,0.6118143459915611,0.2503936208034943,0.3183856502242152,0.8865740740740741,-1.4046997389033942,2.052219321148825,0.4537037037037037,0.6226851851851852
2061,0.18055555555555555,0.6118143459915611,0.27882553065601656,0.3333333333333333,0.8865740740740741,-1.6187989556135771,2.135770234986945,0.4212962962962963,0.6041666666666666
2062,0.1550925925925926,0.6118143459915611,0.24745602975076095,0.31689088191330345,0.8865740740740741,-1.5613577023498695,2.0678851174934727,0.42824074074074076,0.6226851851851852
